delta,model,n_anom,n_normal,n_train,auroc_med,auroc_iqr,auprc_med,mcc_med
0.005,AE,27,74,47,0.7099,0.0573,0.6792,0.2963
0.005,IF,27,74,47,0.6948,0.0562,0.6764,0.2593
0.005,LOF,27,74,47,0.6914,0.0684,0.6604,0.3333
0.005,OCSVM,27,74,47,0.6694,0.0607,0.6616,0.2593
0.005,PCA,27,74,47,0.7003,0.0652,0.6938,0.2593
0.01,AE,21,80,59,0.7075,0.0748,0.7165,0.2857
0.01,IF,21,80,59,0.6701,0.076,0.6613,0.2381
0.01,LOF,21,80,59,0.6927,0.0799,0.6819,0.3333
0.01,OCSVM,21,80,59,0.6497,0.0964,0.7075,0.1429
0.01,PCA,21,80,59,0.7494,0.0624,0.7498,0.3333
0.015,AE,17,84,67,0.7543,0.0787,0.7657,0.4118
0.015,IF,17,84,67,0.699,0.0813,0.7059,0.2941
0.015,LOF,17,84,67,0.7388,0.0718,0.7448,0.4118
0.015,OCSVM,17,84,67,0.7145,0.0571,0.7537,0.2941
0.015,PCA,17,84,67,0.7716,0.0519,0.8005,0.4118
0.02,AE,15,86,71,0.7178,0.1,0.7475,0.3333
0.02,IF,15,86,71,0.66,0.1367,0.6409,0.2
0.02,LOF,15,86,71,0.7067,0.0967,0.7084,0.3333
0.02,OCSVM,15,86,71,0.6711,0.0867,0.7288,0.2
0.02,PCA,15,86,71,0.7644,0.0778,0.7961,0.3333
0.025,AE,11,90,79,0.7893,0.0723,0.8129,0.4545
0.025,IF,11,90,79,0.7355,0.1136,0.7007,0.2727
0.025,LOF,11,90,79,0.7893,0.0992,0.7695,0.2727
0.025,OCSVM,11,90,79,0.7686,0.0785,0.8253,0.3636
0.025,PCA,11,90,79,0.843,0.1012,0.8481,0.4545
0.03,AE,9,92,83,0.7593,0.1111,0.7621,0.3333
0.03,IF,9,92,83,0.7037,0.1451,0.6551,0.3333
0.03,LOF,9,92,83,0.7901,0.0864,0.8008,0.3333
0.03,OCSVM,9,92,83,0.7531,0.0957,0.8327,0.3333
0.03,PCA,9,92,83,0.821,0.1111,0.8462,0.3333
0.035,AE,8,93,85,0.8047,0.1016,0.8415,0.5
0.035,IF,8,93,85,0.7188,0.1719,0.6747,0.25
0.035,LOF,8,93,85,0.8281,0.0781,0.8427,0.25
0.035,OCSVM,8,93,85,0.8125,0.0938,0.872,0.5
0.035,PCA,8,93,85,0.875,0.0781,0.8961,0.5
0.04,AE,8,93,85,0.8047,0.1016,0.8415,0.5
0.04,IF,8,93,85,0.7188,0.1719,0.6747,0.25
0.04,LOF,8,93,85,0.8281,0.0781,0.8427,0.25
0.04,OCSVM,8,93,85,0.8125,0.0938,0.872,0.5
0.04,PCA,8,93,85,0.875,0.0781,0.8961,0.5
0.045,AE,7,94,87,0.8061,0.102,0.8484,0.4286
0.045,IF,7,94,87,0.7041,0.1582,0.6757,0.2857
0.045,LOF,7,94,87,0.8367,0.102,0.8598,0.4286
0.045,OCSVM,7,94,87,0.7959,0.0969,0.8757,0.4286
0.045,PCA,7,94,87,0.8776,0.102,0.9123,0.7143
0.05,AE,7,94,87,0.8061,0.102,0.8484,0.4286
0.05,IF,7,94,87,0.7041,0.1582,0.6757,0.2857
0.05,LOF,7,94,87,0.8367,0.102,0.8598,0.4286
0.05,OCSVM,7,94,87,0.7959,0.0969,0.8757,0.4286
0.05,PCA,7,94,87,0.8776,0.102,0.9123,0.7143
